Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztf-mfi6ooiqrk0833_tn.webp,https://shopee.co.id/sepeda-lipat-16-20-genio-f371-vesta-by-united-rem-discbrake-terbaru-i.105979235.4119357074,Sepeda Lipat 16 20 Genio F371 Vesta By United Rem Discbrake Terbaru,Lautan Jaya Bike,Rp 1.249.000,Rp 934.252.000,748.0,Rp 1.249.000,1,4.73
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82251-miipcqy8ga9w1a_tn.webp,https://shopee.co.id/sepeda-16-20-lipat-odessy-phyton-rem-discbrake-7speed-i.105979235.15371031344,Sepeda 16 20 Lipat Odessy Phyton Rem Discbrake 7speed,Lautan Jaya Bike,Rp 1.150.000,Rp 129.950.000,113.0,Rp 5.750.000,5,4.4
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lkumu0qjfbib19_tn.webp,https://shopee.co.id/odessy-ritz-folding-bike-20-inch-disc-brake-i.51418619.22052518484,Odessy Ritz Folding Bike 20 Inch Disc Brake,JAYA ABADI BIKE,Rp 1.175.020,Rp 4.700.080.000,4.0,Rp 180.953.080,154,4.75
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98v-lvsmbkitcz2c74_tn.webp,https://shopee.co.id/evergreen-maximus-9-speed-chromoly-folding-bike-i.84199141.4948069817,Evergreen Maximus 9 Speed Chromoly Folding Bike,CUNG BIKES GS,Rp 1.950.000,Rp 120.900.000,62.0,Rp 7.800.000,4,4.79
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mkmaa7umnw1vfb_tn.webp,https://shopee.co.id/sepeda-lipat-16-20-inch-odessy-ritz-7-speed-shimano-folding-bike-i.1432007272.24940597404,Sepeda Lipat 16 20 Inch Odessy RITZ 7 Speed Shimano Folding Bike,Pedal Pelangi,Rp 700.000,Rp 100.800.000,144.0,Rp 19.600.000,28,4.56
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98z-lxnuxb28gioa01_tn.webp,https://shopee.co.id/evergreen-maximus-16-inch-hydraulic-9-speed-i.31188778.27355251985,Evergreen Maximus 16 Inch Hydraulic 9 Speed,Cung Bikes,Rp 1.950.000,Rp 91.650.000,47.0,Rp 5.850.000,3,4.88
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zti-mes13l1fupky49_tn.webp,https://shopee.co.id/sepeda-lipat-morison-8118-steel-single-speed-praktis-i.140996876.7416778653,Sepeda Lipat Morison 8118 Steel Single Speed Praktis,HokieJayaSepeda,Rp 682.341,Rp 2.047.023.000,3.0,Rp 52.540.257,77,4.57
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7qukz-ljzh6ega1jca4e_tn.webp,https://shopee.co.id/sepeda-lipat-united-black-horse-x-16-inch-10-speed-i.340563993.8839963886,Sepeda Lipat UNITED BLACK HORSE X 16 Inch 10 Speed,Toko Sepeda Modern.,Rp 1.512.500,Rp 127.050.000,84.0,Rp 6.050.000,4,4.69
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224o-mhlnqyegk6ww91_tn.webp,https://shopee.co.id/sepeda-lipat-20-inch-united-phantom-30-alloy-disc-brake-i.51418619.43325258394,Sepeda Lipat 20 Inch United Phantom 3.0 Alloy Disc Brake,JAYA ABADI BIKE,Rp 1.567.020,Rp 131.629.680,84.0,Rp 18.804.240,12,4.72
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82251-mhjvgeib6m0wc0_tn.webp,https://shopee.co.id/anchi-5-year-warranty-2025-folding-bike-20-i.1440287841.28930224800,"Anchi 5-Year Warranty 2025 Folding Bike 20""",ANCHI Official Store,Rp 781.729,Rp 408.844.267,523.0,Rp 47.685.469,61,4.54
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224t-mgt4wsnkz2mk2e_tn.webp,https://shopee.co.id/element-sepeda-lipat-16-20-7-speed-disc-brake-i.1187880260.40452969401,"Element Sepeda Lipat 16"" 20"" 7 Speed Disc Brake",Toko Sepeda Kota Indah,Rp 773.832,Rp 65.001.888,84.0,Rp 773.832,1,4.74
